[2021.11.16 10:10:08.924] RELAY_BOX was created
[2021.11.16 10:10:38.029] [RELAY_BOX] opening CAN : COM9
[2021.11.16 10:10:38.148] [RELAY_BOX] OpenCAN Success
[2021.11.16 10:10:46.785] [Recv] CANID: 0x14180201, 29 08 00 01 01 01 07 D0 
[2021.11.16 10:10:46.797] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.16 10:10:46.809] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 27 
[2021.11.16 10:10:46.992] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 28 
[2021.11.16 10:10:47.187] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 29 
[2021.11.16 10:10:47.391] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 2A 
[2021.11.16 10:10:47.586] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 2B 
[2021.11.16 10:10:47.783] [Recv] CANID: 0x14180202, 45 53 49 30 32 37 30 31 
[2021.11.16 10:10:47.794] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.16 10:10:47.805] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 2C 
[2021.11.16 10:10:47.989] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 2D 
[2021.11.16 10:10:48.184] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 2E 
[2021.11.16 10:10:48.388] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 2F 
[2021.11.16 10:10:48.593] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 30 
[2021.11.16 10:10:48.786] [Recv] CANID: 0x14180203, 00 00 00 00 00 00 00 00 
[2021.11.16 10:10:48.798] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.16 10:10:48.809] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 31 
[2021.11.16 10:10:48.992] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 32 
[2021.11.16 10:10:49.188] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 33 
[2021.11.16 10:10:49.386] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 34 
[2021.11.16 10:10:49.593] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 35 
[2021.11.16 10:10:49.788] [Recv] CANID: 0x14180204, 48 31 00 00 00 00 00 00 
[2021.11.16 10:10:49.800] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.16 10:10:49.811] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 36 
[2021.11.16 10:10:49.993] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 37 
[2021.11.16 10:10:50.187] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 38 
[2021.11.16 10:10:50.394] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 39 
[2021.11.16 10:10:50.784] [Recv] CANID: 0x14180205, 00 00 00 00 00 00 00 00 
[2021.11.16 10:10:50.796] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.16 10:10:50.807] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 3B 
[2021.11.16 10:10:50.993] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 3C 
[2021.11.16 10:10:51.188] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 3D 
[2021.11.16 10:10:51.392] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 3E 
[2021.11.16 10:10:51.590] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 3F 
[2021.11.16 10:10:51.791] [Recv] CANID: 0x14180206, 00 00 00 01 05 05 00 00 
[2021.11.16 10:10:51.802] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.16 10:10:51.813] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 40 
[2021.11.16 10:10:51.987] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 41 
[2021.11.16 10:10:52.184] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 42 
[2021.11.16 10:10:52.391] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 43 
[2021.11.16 10:10:52.587] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 44 
[2021.11.16 10:10:52.794] [Recv] CANID: 0x14180200, 00 00 00 00 00 00 00 01 
[2021.11.16 10:10:52.805] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.16 10:10:52.816] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 45 
[2021.11.16 10:10:52.992] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 46 
[2021.11.16 10:10:53.185] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 47 
[2021.11.16 10:10:53.386] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 48 
[2021.11.16 10:10:53.593] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 49 
[2021.11.16 10:10:53.993] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 4B 
[2021.11.16 10:10:54.188] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 4C 
[2021.11.16 10:10:54.383] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 4D 
[2021.11.16 10:10:54.591] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 4E 
[2021.11.16 10:10:54.787] [Recv] CANID: 0x14180202, 45 53 49 30 32 37 30 31 
[2021.11.16 10:10:54.799] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.16 10:10:54.810] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 4F 
[2021.11.16 10:10:54.992] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 50 
[2021.11.16 10:10:55.185] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 51 
[2021.11.16 10:10:55.388] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 52 
[2021.11.16 10:10:55.585] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 53 
[2021.11.16 10:10:55.793] [Recv] CANID: 0x14180203, 00 00 00 00 00 00 00 00 
[2021.11.16 10:10:55.807] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.16 10:10:55.818] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 54 
[2021.11.16 10:10:55.994] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 55 
[2021.11.16 10:10:56.190] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 56 
[2021.11.16 10:10:56.384] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 57 
[2021.11.16 10:10:56.592] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 58 
[2021.11.16 10:10:56.798] [Recv] CANID: 0x14180204, 48 31 00 00 00 00 00 00 
[2021.11.16 10:10:56.809] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.16 10:10:56.820] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 59 
[2021.11.16 10:10:56.992] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 5A 
[2021.11.16 10:10:57.199] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 5B 
[2021.11.16 10:10:57.397] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 5C 
[2021.11.16 10:10:57.594] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 5D 
[2021.11.16 10:10:57.798] [Recv] CANID: 0x14180205, 00 00 00 00 00 00 00 00 
[2021.11.16 10:10:57.809] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.16 10:10:57.820] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 5E 
[2021.11.16 10:10:57.995] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 5F 
[2021.11.16 10:10:58.200] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 60 
[2021.11.16 10:10:58.393] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 61 
[2021.11.16 10:10:58.588] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 62 
[2021.11.16 10:10:58.794] [Recv] CANID: 0x14180206, 00 00 00 01 05 05 00 00 
[2021.11.16 10:10:58.805] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.16 10:10:58.816] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 63 
[2021.11.16 10:10:58.990] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 64 
[2021.11.16 10:10:59.195] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 65 
[2021.11.16 10:10:59.390] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 66 
[2021.11.16 10:10:59.588] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 67 
[2021.11.16 10:10:59.794] [Recv] CANID: 0x14180200, 00 00 00 00 00 00 00 01 
[2021.11.16 10:10:59.805] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.16 10:10:59.816] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 68 
[2021.11.16 10:10:59.999] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 69 
[2021.11.16 10:11:00.196] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 6A 
[2021.11.16 10:11:00.391] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 6B 
[2021.11.16 10:11:00.598] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 6C 
[2021.11.16 10:11:00.795] [Recv] CANID: 0x14180201, 37 08 00 01 01 01 07 D0 
[2021.11.16 10:11:00.806] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.16 10:11:00.817] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 6D 
[2021.11.16 10:11:00.990] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 6E 
[2021.11.16 10:11:01.194] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 6F 
[2021.11.16 10:11:01.399] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 70 
[2021.11.16 10:11:01.597] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 71 
[2021.11.16 10:11:01.794] [Recv] CANID: 0x14180202, 45 53 49 30 32 37 30 31 
[2021.11.16 10:11:01.805] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.16 10:11:01.816] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 72 
[2021.11.16 10:11:01.991] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 73 
[2021.11.16 10:11:02.197] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 74 
[2021.11.16 10:11:02.391] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 75 
[2021.11.16 10:11:02.589] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 76 
[2021.11.16 10:11:02.795] [Recv] CANID: 0x14180203, 00 00 00 00 00 00 00 00 
[2021.11.16 10:11:02.806] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.16 10:11:02.817] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 77 
[2021.11.16 10:11:02.992] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 78 
[2021.11.16 10:11:03.198] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 79 
[2021.11.16 10:11:03.396] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 7A 
[2021.11.16 10:11:03.594] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 7B 
[2021.11.16 10:11:03.792] [Recv] CANID: 0x14180204, 48 31 00 00 00 00 00 00 
[2021.11.16 10:11:03.803] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.16 10:11:03.814] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 7C 
[2021.11.16 10:11:03.989] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 7D 
[2021.11.16 10:11:04.196] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 7E 
[2021.11.16 10:11:04.391] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 7F 
[2021.11.16 10:11:04.589] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 80 
[2021.11.16 10:11:04.794] [Recv] CANID: 0x14180205, 00 00 00 00 00 00 00 00 
[2021.11.16 10:11:04.805] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.16 10:11:04.816] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 81 
[2021.11.16 10:11:04.990] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 82 
